BioSample	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	sample_type	sex	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	age	biomaterial_provider	isolate	tissue
SAMN03272469	SRX822031	2014-12-23	11163	7677	SRR1732737	SRS801726	RO-1	Tumor sample 1	female	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272470	SRX823718	2014-12-23	9019	6171	SRR1734456	SRS803269	RO-2	Tumor sample 2	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272471	SRX823721	2014-12-23	11718	8044	SRR1734458	SRS803395	RO-3	Tumor sample 3	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272472	SRX823777	2014-12-23	9408	6438	SRR1734534	SRS803450	RO-4	Tumor sample 4	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272473	SRX823780	2014-12-24	8801	6033	SRR1734538	SRS803452	RO-5	Tumor sample 5	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272474	SRX823783	2014-12-24	9531	6596	SRR1734541	SRS803454	RO-6	Tumor sample 6	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272475	SRX823786	2014-12-24	10687	7400	SRR1734543	SRS803456	RO-7	Tumor sample 7	female	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272476	SRX823788	2014-12-24	8455	5849	SRR1734546	SRS803457	RO-8	Tumor sample 8	female	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272477	SRX823790	2014-12-24	10269	7100	SRR1734548	SRS803459	RO-9	Tumor sample 9	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272478	SRX823792	2014-12-23	9519	6578	SRR1734549	SRS803461	RO-10	Tumor sample 10	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
